timestamp,source_city,destination_city,weight,delivery_time,cost,bot_score
2024-04-27 22:00:00,Crystalport,Shadowfen,377.37,10.89,1120.17,0.697
2024-03-06 02:00:00,Crystalport,Nexara,14.75,8.74,253.82,0.679
2024-04-13 10:00:00,Brightwater,Crystalport,482.57,16.76,1624.25,0.579
2024-02-25 04:00:00,Nexara,Crystalport,351.12,9.03,1052.53,0.564
2024-04-29 18:00:00,Irondale,Nexara,268.47,12.57,1007.65,0.671
2024-03-04 02:00:00,Shadowfen,Silverpeak,467.54,5.06,1341.42,0.313
2024-06-07 06:00:00,Silverpeak,Nexara,134.95,2.96,671.36,0.692
2024-06-04 04:00:00,Stormhaven,Irondale,434.64,15.82,567.32,0.691
2024-05-01 10:00:00,Vortheim,Crystalport,169.45,5.95,504.17,0.415
2024-06-01 04:00:00,Shadowfen,Crystalport,494.86,9.92,1440.36,0.609
2024-05-02 12:00:00,Silverpeak,Vortheim,224.2,11.46,796.72,0.649
2024-03-20 08:00:00,Irondale,Brightwater,276.83,11.84,901.3,0.367
2024-05-12 20:00:00,Vortheim,Stormhaven,466.2,18.89,1815.88,0.611
2024-04-20 10:00:00,Stormhaven,Shadowfen,129.38,8.29,520.17,0.655
2024-03-30 22:00:00,Stormhaven,Silverpeak,430.58,10.38,1444.66,0.575
2024-06-04 22:00:00,Nexara,Shadowfen,475.53,25.93,2565.55,0.612
2024-05-31 22:00:00,Shadowfen,Crystalport,261.61,9.84,861.99,0.479
2024-04-10 22:00:00,Crystalport,Vortheim,271.1,5.96,798.13,0.596
2024-04-30 06:00:00,Crystalport,Stormhaven,12.65,20.21,472.0,0.543
2024-01-07 02:00:00,Shadowfen,Vortheim,29.09,13.08,432.73,0.562
2024-04-21 12:00:00,Silverpeak,Nexara,303.45,13.44,1058.61,0.611
2024-03-10 00:00:00,Crystalport,Shadowfen,340.11,10.15,1185.49,0.497
2024-04-25 14:00:00,Nexara,Crystalport,137.11,7.85,557.54,0.645
2024-03-30 16:00:00,Nexara,Silverpeak,114.64,15.14,625.28,0.387
2024-02-22 08:00:00,Irondale,Shadowfen,13.9,7.82,254.69,0.521
2024-03-24 10:00:00,Stormhaven,Crystalport,51.85,17.12,607.03,0.546
2024-02-20 00:00:00,Vortheim,Nexara,60.53,5.96,278.96,0.522
2024-02-18 02:00:00,Silverpeak,Nexara,133.88,11.9,653.4,0.435
2024-02-04 16:00:00,Stormhaven,Shadowfen,78.95,6.99,373.69,0.658
2024-01-06 00:00:00,Irondale,Shadowfen,485.07,6.53,1473.31,0.46
2024-03-09 08:00:00,Shadowfen,Brightwater,55.13,5.79,279.39,0.629
2024-03-10 08:00:00,Vortheim,Irondale,466.95,7.27,1373.72,0.46
2024-06-02 04:00:00,Silverpeak,Crystalport,132.44,8.0,543.44,0.696
2024-02-01 22:00:00,Shadowfen,Silverpeak,375.5,4.42,1166.3,0.63
2024-02-19 10:00:00,Crystalport,Vortheim,418.09,4.02,1265.26,0.57
2024-06-02 16:00:00,Brightwater,Stormhaven,108.81,11.44,611.07,0.851
2024-01-17 06:00:00,Nexara,Stormhaven,47.21,18.42,634.5,0.687
2024-05-13 02:00:00,Silverpeak,Brightwater,75.9,9.32,375.73,0.464
2024-01-31 02:00:00,Silverpeak,Irondale,153.48,5.2,557.54,0.533
2024-03-22 16:00:00,Irondale,Stormhaven,62.0,13.42,508.17,0.545
2024-04-05 22:00:00,Nexara,Brightwater,430.88,19.12,1528.23,0.656
2024-05-11 00:00:00,Shadowfen,Silverpeak,215.96,5.97,717.45,0.555
2024-05-03 00:00:00,Vortheim,Silverpeak,77.74,10.98,463.67,0.461
2024-05-18 22:00:00,Stormhaven,Vortheim,340.02,21.56,1246.11,0.477
2024-01-04 22:00:00,Nexara,Silverpeak,470.82,16.32,1665.7,0.448
2024-03-27 06:00:00,Irondale,Vortheim,295.21,9.17,993.91,0.483
2024-03-26 18:00:00,Nexara,Brightwater,202.94,19.56,1029.15,0.597
2024-04-18 00:00:00,Brightwater,Nexara,376.28,19.62,1455.04,0.368
2024-01-28 06:00:00,Crystalport,Silverpeak,147.05,9.19,617.86,0.365
2024-01-27 20:00:00,Irondale,Silverpeak,242.69,4.24,714.54,0.69
2024-01-11 10:00:00,Silverpeak,Vortheim,229.23,9.87,853.61,0.408
2024-03-24 02:00:00,Stormhaven,Irondale,51.63,14.89,472.98,0.475
2024-03-02 04:00:00,Stormhaven,Nexara,468.39,21.83,1636.23,0.671
2024-05-05 14:00:00,Brightwater,Crystalport,21.7,13.06,400.22,0.475
2024-03-01 08:00:00,Stormhaven,Brightwater,238.18,5.83,759.85,0.376
2024-01-17 08:00:00,Shadowfen,Vortheim,60.52,15.72,482.7,0.685
2024-03-03 08:00:00,Nexara,Irondale,301.48,8.94,1077.83,0.563
2024-02-12 00:00:00,Irondale,Shadowfen,474.37,9.46,1267.37,0.509
2024-01-20 18:00:00,Nexara,Brightwater,192.2,18.02,1043.01,0.3
2024-03-02 02:00:00,Crystalport,Brightwater,48.68,12.66,466.3,0.437
2024-02-07 22:00:00,Stormhaven,Silverpeak,149.44,11.14,689.87,0.652
2024-05-23 22:00:00,Shadowfen,Irondale,479.34,7.14,1497.52,0.431
2024-03-23 22:00:00,Shadowfen,Silverpeak,336.68,5.2,990.54,0.496
2024-04-19 16:00:00,Stormhaven,Shadowfen,437.92,9.06,1176.11,0.529
2024-01-16 14:00:00,Brightwater,Shadowfen,368.77,5.27,994.73,0.498
2024-04-21 00:00:00,Stormhaven,Nexara,297.8,27.26,1233.53,0.37
2024-01-27 12:00:00,Crystalport,Brightwater,123.11,12.27,652.09,0.321
2024-03-01 00:00:00,Vortheim,Shadowfen,356.98,14.98,1236.41,0.605
2024-01-08 06:00:00,Crystalport,Shadowfen,191.61,12.97,801.21,0.694
2024-04-26 12:00:00,Stormhaven,Crystalport,313.11,14.18,1161.83,0.336
2024-03-15 00:00:00,Shadowfen,Silverpeak,39.86,4.37,233.35,0.428
2024-01-16 02:00:00,Crystalport,Silverpeak,487.53,6.77,1498.21,0.526
2024-01-06 04:00:00,Brightwater,Nexara,347.36,23.32,1247.5,0.477
2024-05-06 20:00:00,Brightwater,Silverpeak,80.84,6.85,417.81,0.556
2024-01-09 06:00:00,Nexara,Shadowfen,408.76,14.71,1500.36,0.664
2024-01-08 18:00:00,Silverpeak,Stormhaven,446.66,13.17,1399.36,0.33
2024-03-02 14:00:00,Silverpeak,Irondale,211.49,5.77,640.96,0.658
2024-02-24 02:00:00,Stormhaven,Vortheim,42.82,19.12,652.86,0.517
2024-01-01 12:00:00,Crystalport,Stormhaven,93.56,20.05,601.58,0.686
2024-03-04 12:00:00,Nexara,Stormhaven,135.11,21.67,840.84,0.465
2024-02-06 00:00:00,Crystalport,Nexara,438.37,6.94,1166.38,0.456
2024-06-13 10:00:00,Shadowfen,Brightwater,175.13,1.78,530.34,0.79
2024-05-13 20:00:00,Shadowfen,Crystalport,151.06,11.9,603.09,0.558
2024-04-02 20:00:00,Crystalport,Shadowfen,23.04,11.55,348.24,0.532
2024-04-30 08:00:00,Vortheim,Nexara,167.16,4.47,582.82,0.543
2024-03-14 12:00:00,Brightwater,Shadowfen,441.0,5.98,1327.44,0.383
2024-06-04 10:00:00,Shadowfen,Silverpeak,348.05,8.53,1932.53,0.875
2024-05-19 22:00:00,Silverpeak,Crystalport,329.32,8.6,1066.82,0.428
2024-01-12 12:00:00,Irondale,Shadowfen,270.97,7.48,798.77,0.354
2024-05-22 10:00:00,Shadowfen,Crystalport,27.45,11.24,343.49,0.524
2024-02-06 02:00:00,Shadowfen,Brightwater,121.1,4.26,417.62,0.465
2024-01-10 12:00:00,Nexara,Crystalport,386.77,6.55,1065.69,0.548
2024-03-08 08:00:00,Nexara,Silverpeak,23.64,15.72,419.15,0.637
2024-02-01 08:00:00,Shadowfen,Nexara,479.46,15.82,1580.76,0.36
2024-06-13 22:00:00,Nexara,Irondale,333.52,9.96,441.76,0.611
2024-06-09 00:00:00,Irondale,Shadowfen,321.31,9.3,360.66,0.612
2024-06-10 08:00:00,Stormhaven,Brightwater,456.29,4.57,446.01,0.755
2024-03-17 18:00:00,Shadowfen,Crystalport,421.04,11.87,1373.0,0.445
2024-05-14 16:00:00,Vortheim,Stormhaven,437.96,18.68,1561.41,0.383
2024-05-28 08:00:00,Crystalport,Nexara,258.74,7.58,899.02,0.35
2024-03-28 12:00:00,Brightwater,Shadowfen,476.55,5.42,1401.58,0.535
2024-04-12 16:00:00,Crystalport,Vortheim,92.91,4.02,334.95,0.337
2024-01-11 12:00:00,Silverpeak,Irondale,19.83,4.42,168.37,0.431
